發送編號,起始時間,結束時間,消耗時間
1,2021-04-26 17:33:08.107,2021-04-26 17:33:09.923,1816ms
2,2021-04-26 17:34:09.927,2021-04-26 17:34:11.488,1560ms
3,2021-04-26 17:35:09.925,2021-04-26 17:35:11.037,1112ms
4,2021-04-26 17:36:09.927,2021-04-26 17:36:11.063,1135ms
5,2021-04-26 17:37:09.929,2021-04-26 17:37:10.937,1008ms
6,2021-04-26 17:38:09.930,2021-04-26 17:38:10.801,871ms
7,2021-04-26 17:39:09.931,2021-04-26 17:39:11.237,1306ms
8,2021-04-26 17:40:09.927,2021-04-26 17:40:11.136,1209ms
9,2021-04-26 17:41:09.925,2021-04-26 17:41:11.406,1481ms
10,2021-04-26 17:42:09.925,2021-04-26 17:42:11.148,1222ms
11,2021-04-26 17:43:09.928,2021-04-26 17:43:11.259,1330ms
12,2021-04-26 17:44:09.927,2021-04-26 17:44:11.370,1443ms
13,2021-04-26 17:45:09.925,2021-04-26 17:45:11.451,1526ms
14,2021-04-26 17:46:09.927,2021-04-26 17:46:12.547,2620ms
15,2021-04-26 17:47:09.926,2021-04-26 17:47:11.453,1527ms
16,2021-04-26 17:48:09.925,2021-04-26 17:48:11.382,1457ms
